name,access_key,secret_key,region,terminal_url
student1,,,us-west-2,https://student1.packt.ai-enhanced-devops.com/?cluster=student1
student2,,,us-west-2,https://student2.packt.ai-enhanced-devops.com/?cluster=student2
student3,,,us-west-2,https://student3.packt.ai-enhanced-devops.com/?cluster=student3
student4,,,us-west-2,https://student4.packt.ai-enhanced-devops.com/?cluster=student4
student5,,,us-west-2,https://student5.packt.ai-enhanced-devops.com/?cluster=student5
student6,,,us-west-2,https://student6.packt.ai-enhanced-devops.com/?cluster=student6
student7,,,us-west-2,https://student7.packt.ai-enhanced-devops.com/?cluster=student7
student8,,,us-west-2,https://student8.packt.ai-enhanced-devops.com/?cluster=student8
student9,,,us-west-2,https://student9.packt.ai-enhanced-devops.com/?cluster=student9
student10,,,us-west-2,https://student10.packt.ai-enhanced-devops.com/?cluster=student10
student11,,,us-west-2,https://student11.packt.ai-enhanced-devops.com/?cluster=student11
student12,,,us-west-2,https://student12.packt.ai-enhanced-devops.com/?cluster=student12
student13,,,us-west-2,https://student13.packt.ai-enhanced-devops.com/?cluster=student13
student14,,,us-west-2,https://student14.packt.ai-enhanced-devops.com/?cluster=student14
student15,,,us-west-2,https://student15.packt.ai-enhanced-devops.com/?cluster=student15
student16,,,us-west-2,https://student16.packt.ai-enhanced-devops.com/?cluster=student16
student17,,,us-west-2,https://student17.packt.ai-enhanced-devops.com/?cluster=student17
student18,,,us-west-2,https://student18.packt.ai-enhanced-devops.com/?cluster=student18
student51,,,us-west-2,https://student51.packt.ai-enhanced-devops.com/?cluster=student51
student52,,,us-west-2,https://student52.packt.ai-enhanced-devops.com/?cluster=student52
student53,,,us-west-2,https://student53.packt.ai-enhanced-devops.com/?cluster=student53
student54,,,us-west-2,https://student54.packt.ai-enhanced-devops.com/?cluster=student54
student55,,,us-west-2,https://student55.packt.ai-enhanced-devops.com/?cluster=student55
student56,,,us-west-2,https://student56.packt.ai-enhanced-devops.com/?cluster=student56
student57,,,us-west-2,https://student57.packt.ai-enhanced-devops.com/?cluster=student57
student58,,,us-west-2,https://student58.packt.ai-enhanced-devops.com/?cluster=student58
student59,,,us-west-2,https://student59.packt.ai-enhanced-devops.com/?cluster=student59
student60,,,us-west-2,https://student60.packt.ai-enhanced-devops.com/?cluster=student60
student61,,,us-west-2,https://student61.packt.ai-enhanced-devops.com/?cluster=student61
student62,,,us-west-2,https://student62.packt.ai-enhanced-devops.com/?cluster=student62
student63,,,us-west-2,https://student63.packt.ai-enhanced-devops.com/?cluster=student63
student64,,,us-west-2,https://student64.packt.ai-enhanced-devops.com/?cluster=student64
student65,,,us-west-2,https://student65.packt.ai-enhanced-devops.com/?cluster=student65
student66,,,us-west-2,https://student66.packt.ai-enhanced-devops.com/?cluster=student66
student67,,,us-west-2,https://student67.packt.ai-enhanced-devops.com/?cluster=student67
student68,,,us-west-2,https://student68.packt.ai-enhanced-devops.com/?cluster=student68
student101,,,us-west-2,https://student101.packt.ai-enhanced-devops.com/?cluster=student101
student102,,,us-west-2,https://student102.packt.ai-enhanced-devops.com/?cluster=student102
student103,,,us-west-2,https://student103.packt.ai-enhanced-devops.com/?cluster=student103
student104,,,us-west-2,https://student104.packt.ai-enhanced-devops.com/?cluster=student104
student105,,,us-west-2,https://student105.packt.ai-enhanced-devops.com/?cluster=student105
student106,,,us-west-2,https://student106.packt.ai-enhanced-devops.com/?cluster=student106
student107,,,us-west-2,https://student107.packt.ai-enhanced-devops.com/?cluster=student107
student108,,,us-west-2,https://student108.packt.ai-enhanced-devops.com/?cluster=student108
student109,,,us-west-2,https://student109.packt.ai-enhanced-devops.com/?cluster=student109
student110,,,us-west-2,https://student110.packt.ai-enhanced-devops.com/?cluster=student110
student111,,,us-west-2,https://student111.packt.ai-enhanced-devops.com/?cluster=student111
student112,,,us-west-2,https://student112.packt.ai-enhanced-devops.com/?cluster=student112
student113,,,us-west-2,https://student113.packt.ai-enhanced-devops.com/?cluster=student113
student114,,,us-west-2,https://student114.packt.ai-enhanced-devops.com/?cluster=student114
student115,,,us-west-2,https://student115.packt.ai-enhanced-devops.com/?cluster=student115
student116,,,us-west-2,https://student116.packt.ai-enhanced-devops.com/?cluster=student116
student117,,,us-west-2,https://student117.packt.ai-enhanced-devops.com/?cluster=student117
student151,,,us-west-2,https://student151.packt.ai-enhanced-devops.com/?cluster=student151
student152,,,us-west-2,https://student152.packt.ai-enhanced-devops.com/?cluster=student152
student153,,,us-west-2,https://student153.packt.ai-enhanced-devops.com/?cluster=student153
student154,,,us-west-2,https://student154.packt.ai-enhanced-devops.com/?cluster=student154
student155,,,us-west-2,https://student155.packt.ai-enhanced-devops.com/?cluster=student155
student156,,,us-west-2,https://student156.packt.ai-enhanced-devops.com/?cluster=student156
student157,,,us-west-2,https://student157.packt.ai-enhanced-devops.com/?cluster=student157
student158,,,us-west-2,https://student158.packt.ai-enhanced-devops.com/?cluster=student158
student159,,,us-west-2,https://student159.packt.ai-enhanced-devops.com/?cluster=student159
student160,,,us-west-2,https://student160.packt.ai-enhanced-devops.com/?cluster=student160
student161,,,us-west-2,https://student161.packt.ai-enhanced-devops.com/?cluster=student161
student162,,,us-west-2,https://student162.packt.ai-enhanced-devops.com/?cluster=student162
student163,,,us-west-2,https://student163.packt.ai-enhanced-devops.com/?cluster=student163
student164,,,us-west-2,https://student164.packt.ai-enhanced-devops.com/?cluster=student164
student165,,,us-west-2,https://student165.packt.ai-enhanced-devops.com/?cluster=student165
student166,,,us-west-2,https://student166.packt.ai-enhanced-devops.com/?cluster=student166
student167,,,us-west-2,https://student167.packt.ai-enhanced-devops.com/?cluster=student167
student168,,,us-west-2,https://student168.packt.ai-enhanced-devops.com/?cluster=student168
student169,,,us-west-2,https://student169.packt.ai-enhanced-devops.com/?cluster=student169
student201,,,us-west-2,https://student201.packt.ai-enhanced-devops.com/?cluster=student201
student202,,,us-west-2,https://student202.packt.ai-enhanced-devops.com/?cluster=student202
student203,,,us-west-2,https://student203.packt.ai-enhanced-devops.com/?cluster=student203
student204,,,us-west-2,https://student204.packt.ai-enhanced-devops.com/?cluster=student204
student205,,,us-west-2,https://student205.packt.ai-enhanced-devops.com/?cluster=student205
student206,,,us-west-2,https://student206.packt.ai-enhanced-devops.com/?cluster=student206
student207,,,us-west-2,https://student207.packt.ai-enhanced-devops.com/?cluster=student207
student208,,,us-west-2,https://student208.packt.ai-enhanced-devops.com/?cluster=student208
student209,,,us-west-2,https://student209.packt.ai-enhanced-devops.com/?cluster=student209
student210,,,us-west-2,https://student210.packt.ai-enhanced-devops.com/?cluster=student210
student211,,,us-west-2,https://student211.packt.ai-enhanced-devops.com/?cluster=student211
student212,,,us-west-2,https://student212.packt.ai-enhanced-devops.com/?cluster=student212
